label,A_pct,B_pct,C_pct,D_pct,score_mean,score_median,score_std,score_null,null_MACD趋势,null_金叉信号,null_柱状动能,null_DIF斜率,null_背离信号,null_量价配合,null_K线形态,elapsed_s
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.2,0.3,5.6,41.6,52.4,8.55,0.0,19.97,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.3
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.3,0.3,5.6,41.6,52.4,8.55,0.0,19.97,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.2
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.1,0.5,5.5,41.5,52.4,8.65,0.0,20.16,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.0
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.2,0.5,5.5,41.5,52.4,8.67,0.0,20.19,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.8
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.3,0.5,5.5,41.5,52.4,8.67,0.0,20.19,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.4
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.5,41.8,52.4,8.47,0.0,19.89,0,0.0,0.0,0.0,0.0,0.0,0.0,,133.4
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.2,0.4,5.5,41.6,52.4,8.59,0.0,20.12,0,0.0,0.0,0.0,0.0,0.0,0.0,,137.6
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.3,0.4,5.5,41.6,52.4,8.59,0.0,20.12,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.0
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.1,0.5,5.3,41.8,52.4,8.58,0.0,20.09,0,0.0,0.0,0.0,0.0,0.0,0.0,,137.0
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.2,0.5,5.4,41.6,52.4,8.65,0.0,20.24,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.6
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.3,0.5,5.4,41.6,52.4,8.65,0.0,20.24,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.6
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.1,0.7,5.3,41.5,52.4,8.75,0.0,20.41,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.3
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.2,0.7,5.3,41.5,52.4,8.77,0.0,20.45,0,0.0,0.0,0.0,0.0,0.0,0.0,,138.3
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.3,0.7,5.3,41.5,52.4,8.77,0.0,20.45,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.6
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.5,41.8,52.4,8.48,0.0,19.89,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.2
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.2,0.4,5.5,41.6,52.4,8.59,0.0,20.13,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.0
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.3,0.4,5.5,41.6,52.4,8.59,0.0,20.13,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.2
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.1,0.5,5.3,41.8,52.4,8.58,0.0,20.1,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.0
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.2,0.5,5.4,41.6,52.4,8.66,0.0,20.25,0,0.0,0.0,0.0,0.0,0.0,0.0,,139.9
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.3,0.5,5.4,41.6,52.4,8.66,0.0,20.25,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.5
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.1,0.7,5.3,41.5,52.4,8.75,0.0,20.42,0,0.0,0.0,0.0,0.0,0.0,0.0,,137.5
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.2,0.7,5.3,41.5,52.4,8.77,0.0,20.46,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.9
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.3,0.7,5.3,41.5,52.4,8.77,0.0,20.46,0,0.0,0.0,0.0,0.0,0.0,0.0,,137.0
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.5,41.8,52.4,8.5,0.0,19.96,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.5
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.2,0.4,5.5,41.6,52.4,8.62,0.0,20.19,0,0.0,0.0,0.0,0.0,0.0,0.0,,137.2
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.3,0.4,5.5,41.6,52.4,8.62,0.0,20.19,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.4
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.1,0.5,5.3,41.8,52.4,8.61,0.0,20.16,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.4
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.2,0.5,5.4,41.6,52.4,8.68,0.0,20.31,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.0
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.3,0.5,5.4,41.6,52.4,8.68,0.0,20.31,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.3
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.1,0.7,5.3,41.5,52.4,8.77,0.0,20.49,0,0.0,0.0,0.0,0.0,0.0,0.0,,156.6
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.2,0.7,5.3,41.5,52.4,8.79,0.0,20.53,0,0.0,0.0,0.0,0.0,0.0,0.0,,180.6
SCORING_PARAMS.cross_decay_days=60_SCORING_PARAMS.cross_decay_min=0.5_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.3,0.7,5.3,41.5,52.4,8.79,0.0,20.53,0,0.0,0.0,0.0,0.0,0.0,0.0,,227.3
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,211.3
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,209.6
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.9
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,178.2
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,187.4
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,169.3
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,167.5
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,210.5
RULE_THRESHOLDS.divergence=0.2_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,159.6
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,124.0
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,130.7
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,137.4
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.4
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,139.2
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,194.0
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,170.4
RULE_THRESHOLDS.divergence=0.3_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,204.8
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,189.9
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,189.0
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=70_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,195.4
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,190.2
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,141.9
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=80_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,111.1
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.03,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,117.3
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.05,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,120.1
RULE_THRESHOLDS.divergence=0.4_RULE_THRESHOLDS.winner_rate_high=90_RULE_THRESHOLDS.liq_veto_ratio=0.08,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,157.9
TECHNICAL_CONSTANTS.atr_length=10_TECHNICAL_CONSTANTS.rsi_length=10,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,115.7
TECHNICAL_CONSTANTS.atr_length=10_TECHNICAL_CONSTANTS.rsi_length=14,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,125.0
TECHNICAL_CONSTANTS.atr_length=10_TECHNICAL_CONSTANTS.rsi_length=20,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,123.9
TECHNICAL_CONSTANTS.atr_length=14_TECHNICAL_CONSTANTS.rsi_length=10,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,138.9
TECHNICAL_CONSTANTS.atr_length=14_TECHNICAL_CONSTANTS.rsi_length=14,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,125.9
TECHNICAL_CONSTANTS.atr_length=14_TECHNICAL_CONSTANTS.rsi_length=20,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,141.2
TECHNICAL_CONSTANTS.atr_length=20_TECHNICAL_CONSTANTS.rsi_length=10,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,153.1
TECHNICAL_CONSTANTS.atr_length=20_TECHNICAL_CONSTANTS.rsi_length=14,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.9
TECHNICAL_CONSTANTS.atr_length=20_TECHNICAL_CONSTANTS.rsi_length=20,0.3,5.6,41.6,52.4,8.49,0.0,19.81,0,0.0,0.0,0.0,0.0,0.0,0.0,,146.6
